0	0
1	0
2	5
3	1375
4	5998
5	9077
6	5189
7	6044
8	6733
9	9166
10	12283
11	16518
12	21559
13	25094
14	28524
15	31101
16	31990
17	26220
18	14170
19	5355
20	1753
21	526
22	140
23	48
24	13
25	3
26	1
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
